CustomerID,TimeSlot,Channel,ChannelName,ExpectedResponseRate,Cost,Priority
0,56,0,Email,0.17782995671233148,0.01,0.40159666202761507
1,9,0,Email,0.22654256942610304,0.01,0.44467860437643225
3,23,2,Push,0.0957319339377312,0.02,0.7135257664971246
4,50,2,Push,0.05142693763243493,0.02,0.8402332452830537
5,58,0,Email,0.08131351214881125,0.01,0.8714103971905296
6,46,0,Email,0.036737053789988594,0.01,0.5176317993158375
7,15,2,Push,0.31968479223668567,0.02,0.4899606150257778
8,5,0,Email,0.10521573321081068,0.01,0.912100912918881
10,36,2,Push,0.18051119183161946,0.02,0.6296506141908083
11,25,0,Email,0.058836805245756844,0.01,0.49901175507331647
12,6,2,Push,0.03769037671821123,0.02,0.44127583435391093
13,47,0,Email,0.20994631108187395,0.01,0.8453969911593687
14,15,0,Email,0.14346650649813544,0.01,0.5360341639648041
15,51,2,Push,0.17482513460244237,0.02,0.847433385932726
16,19,2,Push,0.13335134021374134,0.02,0.6482950101516496
17,34,2,Push,0.10671282807777026,0.02,0.7405954400850663
19,36,0,Email,0.10251539066255665,0.01,0.3062572475790791
21,56,2,Push,0.23864322120657272,0.02,0.6297013040350387
22,5,0,Email,0.22669791316274104,0.01,0.898522170913874
23,18,2,Push,0.2374255345408928,0.02,0.3005244244554437
24,31,2,Push,0.13496900607998327,0.02,0.4190630031546849
25,15,1,SMS,0.24124397976166542,0.05,0.9757182114383671
26,31,2,Push,0.2626487704385236,0.02,0.5902411069763422
27,15,0,Email,0.26693380413058077,0.01,0.7916405350076641
28,45,0,Email,0.0653551689935038,0.01,0.7681299393827394
29,45,2,Push,0.1672323422020814,0.02,0.5027797745421662
30,40,0,Email,0.14289748721808432,0.01,0.46200301856709036
32,19,2,Push,0.1344712903901723,0.02,0.7307473378061654
33,30,0,Email,0.1182087726114336,0.01,0.5988295287047325
34,44,0,Email,0.21724964101868932,0.01,0.56803308524499
35,56,2,Push,0.18915327723128886,0.02,0.8950824564292341
37,31,0,Email,0.160886759810061,0.01,0.41939742440854416
38,41,0,Email,0.11057797974183192,0.01,0.8290628350172441
39,2,0,Email,0.1683362413465144,0.01,0.925483555378079
40,38,0,Email,0.18656282595423695,0.01,0.9342172736915858
42,13,0,Email,0.19658139120663612,0.01,0.5922710357558383
44,16,1,SMS,0.15535551170002335,0.05,0.9744852044535683
46,17,2,Push,0.26779864424078476,0.02,0.9995040682586357
47,27,0,Email,0.25281832828245904,0.01,0.699148671482357
48,17,0,Email,0.2236401576000231,0.01,0.949189360098089
49,15,1,SMS,0.1974739091177226,0.05,0.35116250052062903
50,49,0,Email,0.08910105992883467,0.01,0.7588646779174621
51,26,2,Push,0.18056272920478805,0.02,0.5573079604064451
52,43,1,SMS,0.1417724370485158,0.05,0.7918462843775301
53,12,2,Push,0.44522686560367775,0.02,0.769451638238091
56,7,2,Push,0.36399160557259164,0.02,0.6376380822508687
57,32,1,SMS,0.24289913526194187,0.05,0.5103673850879611
58,32,0,Email,0.20670000647893114,0.01,0.4999156473815577
59,39,2,Push,0.07905549454058382,0.02,0.7084527516493786
61,52,1,SMS,0.14400294898801044,0.05,0.4496995737781263
62,35,0,Email,0.22383940405306077,0.01,0.5869294995976739
66,17,2,Push,0.3113401771388065,0.02,0.8439595224513489
67,31,2,Push,0.3810711714082055,0.02,0.8867455995149608
69,34,0,Email,0.1554493160315517,0.01,0.4388979271668408
70,52,0,Email,0.23236084594675055,0.01,0.8291508094519014
71,23,2,Push,0.06876838578643113,0.02,0.7054357101756149
72,16,1,SMS,0.1956121590106845,0.05,0.9104503853213436
74,40,2,Push,0.09441448096901255,0.02,0.3730634651817872
75,38,2,Push,0.17151597690173803,0.02,0.5069035764305034
76,49,2,Push,0.11522282455276009,0.02,0.6555554298175534
77,29,0,Email,0.13225981617488533,0.01,0.35044049303474056
80,37,1,SMS,0.12059870684720904,0.05,0.7707940705766363
83,15,1,SMS,0.1623581025208358,0.05,0.7481935318735827
84,26,0,Email,0.068910169104459,0.01,0.8819831468547545
85,37,1,SMS,0.291253311754681,0.05,0.9856881998114791
86,14,2,Push,0.17000397821291305,0.02,0.9779095073829842
88,5,0,Email,0.20674211542429893,0.01,0.3828838859436463
89,20,1,SMS,0.34303294340278956,0.05,0.43248110136404955
90,12,0,Email,0.23939781781614514,0.01,0.5130186774134529
91,57,0,Email,0.23759440181349467,0.01,0.7083426412605675
92,46,0,Email,0.046612253433864076,0.01,0.5509395054608941
93,31,0,Email,0.12590917396247342,0.01,0.9999041033556106
94,38,2,Push,0.18745711118402772,0.02,0.8307483464740724
95,48,2,Push,0.1292210185728734,0.02,0.729845253984948
97,40,2,Push,0.25447893208888595,0.02,0.670346347444616
