SolutionId,Timestamp,ExpectedResponses,TotalCost,CustomerSatisfaction,TotalAssignments,MaxHourlyLoad,UtilizationRate,EmailAssignments,SmsAssignments,PushAssignments,InAppAssignments,AvgResponseRate,CostPerResponse
0,20250701_180543,13.961265283155235,2.1000000000000005,0.3588235294117647,85,4,0.85,29,23,33,0,0.1642501798018263,0.15041616625777646
1,20250701_180543,12.726859687944925,1.5000000000000009,0.2357142857142857,70,3,0.7,32,14,24,0,0.18181228125635607,0.11786096780974364
2,20250701_180543,9.472188781236332,1.2700000000000007,0.3,65,4,0.65,30,9,26,0,0.14572598124978972,0.13407671968233698
3,20250701_180543,14.184774181489642,1.9200000000000013,0.32926829268292684,82,5,0.82,29,19,34,0,0.17298505099377612,0.13535640225457354
4,20250701_180543,11.524235802707118,1.7600000000000011,0.39864864864864863,74,4,0.74,29,19,26,0,0.1557329162527989,0.15272162337970954
5,20250701_180543,11.497056039467441,1.4700000000000009,0.2746478873239437,71,4,0.71,34,13,24,0,0.16193036675306255,0.12785881837522062
6,20250701_180543,11.262885208223745,1.3700000000000008,0.29577464788732394,71,4,0.71,35,10,26,0,0.15863218603132034,0.12163845894475397
7,20250701_180543,9.75148978226901,1.330000000000001,0.3076923076923077,65,4,0.65,30,11,24,0,0.15002291972721554,0.13638941635547014
8,20250701_180543,13.792047820939462,2.0000000000000013,0.39375,80,5,0.8,26,22,32,0,0.17240059776174327,0.14501109813174712
9,20250701_180543,10.647472988610375,1.4900000000000009,0.3472222222222222,72,7,0.72,31,12,29,0,0.1478815692862552,0.13993930781452624
10,20250701_180543,12.336755703756209,1.750000000000001,0.37333333333333335,75,6,0.75,29,18,28,0,0.16449007605008278,0.14185252930534836
11,20250701_180543,10.992952305722405,1.4300000000000008,0.3115942028985507,69,4,0.69,31,12,26,0,0.15931814935829572,0.1300833443310412
12,20250701_180543,11.968304595989503,1.700000000000001,0.3904109589041096,73,6,0.73,30,18,25,0,0.16394937802725346,0.14204183945733295
13,20250701_180543,10.758511629542523,1.560000000000001,0.323943661971831,71,4,0.71,34,16,21,0,0.15152833281045808,0.1450014698795595
14,20250701_180543,11.784284139479539,1.4900000000000009,0.2785714285714286,70,4,0.7,33,14,23,0,0.16834691627827914,0.12643958532943247
15,20250701_180543,13.239545282500718,1.9100000000000013,0.358974358974359,78,4,0.78,28,21,29,0,0.16973776003206048,0.1442647733925221
16,20250701_180543,13.71920145697156,1.8600000000000012,0.3433734939759036,83,6,0.83,34,18,31,0,0.16529158381893444,0.1355764040519153
17,20250701_180543,12.621993428790411,1.8800000000000012,0.3974358974358974,78,5,0.78,31,21,26,0,0.16182042857423604,0.1489463618093616
18,20250701_180543,12.134614534118436,1.710000000000001,0.363013698630137,73,5,0.73,29,18,26,0,0.16622759635778678,0.14091918578806595
19,20250701_180543,12.011367332451616,1.6500000000000012,0.3680555555555556,72,5,0.72,30,17,25,0,0.16682454628405022,0.13736987258246003
