CustomerID,TimeSlot,Channel,ChannelName,ExpectedResponseRate,Cost,Priority
1,10,2,Push,0.307106161056401,0.02,0.5156763735978597
2,33,1,SMS,0.10576620991843325,0.05,0.6150679721842128
3,26,1,SMS,0.18016718255452513,0.05,0.5969921666211175
4,17,0,Email,0.10856640562963894,0.01,0.6818560398356026
5,8,1,SMS,0.16196029674908508,0.05,0.4244516113112664
6,10,2,Push,0.23983648140501387,0.02,0.9837717867828266
7,42,1,SMS,0.09166592192890963,0.05,0.8082621570751385
8,50,1,SMS,0.08155510653794694,0.05,0.877598870941185
10,28,0,Email,0.24164833943204655,0.01,0.4375228340468518
11,48,2,Push,0.03905628650582495,0.02,0.7228022199625672
12,54,2,Push,0.034425350002939455,0.02,0.5297433009848139
13,46,0,Email,0.17614970185058723,0.01,0.4230595345136131
16,1,2,Push,0.1273101294245337,0.02,0.5005351614558173
17,36,1,SMS,0.1606231654845463,0.05,0.5506060838864015
18,3,2,Push,0.13440320212336196,0.02,0.7697289218380874
19,21,0,Email,0.13650545475082773,0.01,0.3988687972030377
20,15,0,Email,0.09675762833267376,0.01,0.34421663736024877
21,6,0,Email,0.16917777067671702,0.01,0.5353145396255423
22,49,1,SMS,0.1435669477663518,0.05,0.8864350167285386
24,35,0,Email,0.14661793213526725,0.01,0.5190793043120696
25,1,2,Push,0.07718510044092831,0.02,0.3236504135470153
26,36,2,Push,0.10428814886551357,0.02,0.4306898642771546
27,52,0,Email,0.04889011569110211,0.01,0.8080997503707082
28,5,0,Email,0.19799534970764626,0.01,0.9663391471534075
30,34,0,Email,0.18027554767648704,0.01,0.8639937925880193
32,58,0,Email,0.12801046476245997,0.01,0.7698851476723356
33,26,1,SMS,0.13587999272134352,0.05,0.3492859292720919
34,38,2,Push,0.08746946285435941,0.02,0.6290630993570958
35,22,1,SMS,0.09455691188338822,0.05,0.8930610503045642
36,17,0,Email,0.14603244762462547,0.01,0.7329442778618733
37,42,2,Push,0.25223605182010794,0.02,0.6645812022878833
38,36,0,Email,0.18419921738415798,0.01,0.5196144392450784
40,35,2,Push,0.052867609145322216,0.02,0.9343126441079829
42,27,2,Push,0.06119910357471533,0.02,0.6695154855450272
43,42,1,SMS,0.1473191738203028,0.05,0.9892577018016928
45,8,0,Email,0.05165833673670913,0.01,0.5634438644246051
46,6,0,Email,0.09356213038008544,0.01,0.7869288660573234
49,14,0,Email,0.12727811466699962,0.01,0.7594212216932645
50,56,1,SMS,0.23187179482653075,0.05,0.7158747808405594
51,22,2,Push,0.25206782191498484,0.02,0.9344149080685902
52,42,0,Email,0.10955356565114814,0.01,0.7757849278553076
53,7,2,Push,0.19398396861082332,0.02,0.650116791586167
54,12,2,Push,0.18233241766650427,0.02,0.6477047390053153
57,8,2,Push,0.19978006716061028,0.02,0.5642987977017755
58,52,0,Email,0.13517635010761603,0.01,0.8843561690007857
59,54,2,Push,0.08165048605810188,0.02,0.6460638029753775
60,21,2,Push,0.25326811660257104,0.02,0.8291370597444467
61,10,0,Email,0.21356905467440432,0.01,0.540894373899124
62,19,2,Push,0.21153562148716765,0.02,0.7557641102749941
63,6,2,Push,0.11240978538782789,0.02,0.7649721489916086
64,12,2,Push,0.2274728912910701,0.02,0.6196408108332077
65,13,1,SMS,0.1106709949862811,0.05,0.762131468246137
66,0,0,Email,0.18795941102932576,0.01,0.778888591155717
69,22,0,Email,0.1072435432853521,0.01,0.32593437435733086
71,45,1,SMS,0.12131069631366906,0.05,0.7398173473603791
74,27,0,Email,0.3380419915574245,0.01,0.4797994337408255
75,8,2,Push,0.2511944633448545,0.02,0.5571869208914974
78,44,0,Email,0.13415627953828377,0.01,0.8378645493069639
79,12,1,SMS,0.31151478311750896,0.05,0.9003709118260846
80,1,0,Email,0.2549517794591868,0.01,0.9501839512197732
82,37,1,SMS,0.07330688076008865,0.05,0.8594266461756315
84,18,2,Push,0.21978755842392794,0.02,0.7772947230015728
85,1,2,Push,0.12639668382501593,0.02,0.43249447038733885
86,17,0,Email,0.23119339317061627,0.01,0.7443632138763638
87,10,2,Push,0.10626406562044052,0.02,0.46750514630748113
89,13,0,Email,0.19824292527145365,0.01,0.4003226470540829
91,57,1,SMS,0.25753478267552654,0.05,0.6761492937472096
93,16,1,SMS,0.17244474469626897,0.05,0.9747286950302434
94,18,1,SMS,0.05911761725941148,0.05,0.5360606636387691
95,55,0,Email,0.19355397165727029,0.01,0.564601910470973
96,53,2,Push,0.06205747471722235,0.02,0.9637022734056597
97,32,1,SMS,0.11334195426569181,0.05,0.7234213371256586
98,13,0,Email,0.16827264113614399,0.01,0.4259209899155284
99,50,0,Email,0.26723627113490467,0.01,0.32573767330264597
